pms,property,study,viewport,run_number,success,abort_reason,abort_step,friction_score,total_clicks,domain_handoffs,page_count,form_fields_count,duration_ms,duration_seconds,study_a_attempts,captcha_encountered,inquiry_only,has_accelerated_checkout,ssl_valid,mobile_responsive
profitroom,Apukka Resort,B,desktop,3,FALSE,CAPTCHA on homepage,homepage,1.0,0,0,2,0,7983,8.0,0,False,False,False,True,True
cloudbeds,Sea Esta Komodo,B,mobile,2,FALSE,Could not complete booking flow to payment page,study_b,0.0,1,0,3,0,70475,70.5,0,False,False,False,True,True
profitroom,Hotel Haffner,A,mobile,2,TRUE,,,6.5,0,1,3,0,19215,19.2,1,False,False,False,True,True
profitroom,The Three,A,desktop,1,TRUE,,,6.5,0,1,3,0,19503,19.5,1,False,False,False,True,True
siteminder,Freehand NYC,B,mobile,2,FALSE,No SiteMinder booking engine found on homepage,homepage,0.5,0,0,1,0,6973,7.0,0,False,False,False,True,True
cloudbeds,The LINE Hotel,A,mobile,2,FALSE,CAPTCHA on homepage,homepage,0.5,0,0,1,0,3206,3.2,0,False,False,False,True,True
siteminder,Tremola-San Gottardo,A,desktop,2,TRUE,,,6.0,0,1,2,0,16516,16.5,1,False,False,False,True,True
plekify,Singita,B,mobile,1,TRUE,,,9.0,4,0,2,8,50979,51.0,0,False,False,False,True,True
profitroom,Apukka Resort,A,mobile,2,TRUE,,,7.0,0,1,4,0,16779,16.8,1,False,False,False,True,True
plekify,Singita,A,desktop,3,TRUE,,,0.0,3,0,1,0,24976,25.0,1,False,False,False,True,True
profitroom,Brahman Hills,B,desktop,1,FALSE,Could not select room,room_selection,7.0,0,1,4,0,26078,26.1,0,False,False,False,True,True
plekify,Simbavati,A,desktop,3,TRUE,,,0.0,3,0,1,0,22227,22.2,1,False,False,False,True,True
nightsbridge,Atlantic View,B,mobile,1,TRUE,,,18.0,12,1,2,0,52566,52.6,0,False,False,False,True,True
siteminder,Freehand NYC,A,desktop,2,FALSE,No SiteMinder booking engine found on homepage,homepage,0.5,0,0,1,0,10031,10.0,0,False,False,False,True,True
siteminder,Tremola-San Gottardo,B,mobile,3,TRUE,,,14.0,3,1,3,9,27117,27.1,0,False,False,False,True,True
nightsbridge,Supertubes Guesthouse,B,mobile,3,FALSE,Could not find NightsBridge date display,select_dates,3.0,2,0,2,0,81232,81.2,0,False,False,False,True,True
nightsbridge,Lairds Lodge,A,mobile,2,TRUE,,,11.0,5,1,2,0,22499,22.5,1,False,False,False,True,True
cloudbeds,Sea Esta Komodo,B,mobile,1,FALSE,Could not complete booking flow to payment page,study_b,0.0,1,0,3,0,70951,71.0,0,False,False,False,True,True
nightsbridge,Thali Thali,A,mobile,3,TRUE,,,10.0,4,1,2,0,20729,20.7,1,False,False,False,True,True
profitroom,Hotel Haffner,A,mobile,1,TRUE,,,6.5,0,1,3,0,19535,19.5,1,False,False,False,True,True
nightsbridge,Boulders Beach Lodge,B,desktop,3,FALSE,CAPTCHA on homepage,homepage,0.5,0,0,1,0,11051,11.1,0,False,False,False,True,True
profitroom,The Three,A,desktop,2,TRUE,,,6.5,0,1,3,0,18946,18.9,1,False,False,False,True,True
cloudbeds,The LINE Hotel,A,mobile,1,FALSE,CAPTCHA on homepage,homepage,0.5,0,0,1,0,3784,3.8,0,False,False,False,True,True
